city,university,class1,class2
전국,제한 없음,기타,기타
서울,가천대(글로벌),취미/놀이,컴퓨터/소프트웨어
경기,가톨릭대(성심),공연,힙합
인천,강남대,학술/스터디,보컬
강원,강원대,스포츠/레저,클래식악기
대전,건국대,취업/창업/스펙,밴드
세종,건국대(글로벌),여행,종교
충남,건양대,,봉사
충북,경북대,,축구
부산,경상대,,배구
울산,경성대,,농구
경남,경희대(서울),,야구
경북,경희대(국제),,영화
대구,고려대,,보드
광주,고려대(세종),,게임
전남,광운대,,마술
전북,국민대,,영어
제주,남서울대,,프랑스어
,단국대(죽전),,댄스
,단국대(천안),,웹/어플리케이션
,덕성여대,,성우
,동국대,,창업
,동덕여대,,
,명지대,,
,명지대(서울),,
,목포대,,
,부경대,,
,부산대,,
,상명대,,
,상지대,,
,서강대,,
,서울과학기술대,,
,서울대,,
,서울시립대,,
,서울여대,,
,선문대,,
,성결대,,
,성공회대,,
,성균관대,,
,성신여대,,
,세종대,,
,숙명여대,,
,순천항대,,
,숭실대,,
,아주대,,
,연세대,,
,연세대(원주),,
,영남대,,
,용인대,,
,원광대,,
,이화여대,,
,인천대,,
,인하대,,
,전남대,,
,전북대,,
,조선대,,
,중앙대,,
,충남대,,
,충북대,,
,평택대,,
,한국기술교대,,
,한국예술종합학교,,
,한국외대(서울),,
,한국외대(글로벌),,
,한국항공대,,
,한밭대,,
,한성대,,
,한양대,,
,한양대(ERICA),,
,홍익대,,
,UNIST,,
